@relation data_sosial_ipk_over
@attribute JK{L,P}
@attribute JUR{AKU,EKO,HUK,KOM}
@attribute GAJI_ORTU{G1,G2,G3,G4,G5,G6,G7}
@attribute PDK_IBU{LL,SD,SMP,SMTA,SRJN}
@attribute PEK_IBU{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute PEK_AYAH{BPN,GRD,LL,PDG,PNS,PS,PSN}
@attribute SKS_S1{SKS1_B,SKS1_C,SKS1_K,SKS1_SB}
@attribute SKS_S2{SKS2_B,SKS2_C,SKS2_K,SKS2_SB}
@attribute IP_S1{IPS1_CUM,IPS1_KM,IPS1_M,IPS1_SM}
@attribute IP_S2{IPS2_CUM,IPS2_KM,IPS2_M,IPS2_SM}
@attribute IPK_TERAKHIR{IPK_CUM,IPK_KM,IPK_M,IPK_SM}
@data
"P","KOM","G4","SRJN","LL","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_KM"
"L","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","PS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","EKO","G4","SRJN","GRD","PSN","SKS1_SB","SKS2_SB","IPS1_M","IPS2_KM","IPK_KM"
"P","KOM","G1","SMP","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","EKO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"L","EKO","G2","SMP","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_KM"
"L","KOM","G2","SD","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G3","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_KM"
"L","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_KM"
"L","EKO","G2","LL","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G4","SMTA","PNS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G4","SRJN","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","EKO","G3","SD","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_KM"
"L","KOM","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"L","EKO","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_SM","IPS2_KM","IPK_KM"
"L","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"L","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"P","EKO","G5","SRJN","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G4","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G3","SMTA","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","EKO","G2","LL","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","EKO","G3","SMP","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_KM"
"P","KOM","G5","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_KM"
"L","HUK","G3","SRJN","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","HUK","G4","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","EKO","G3","SMTA","PSN","PSN","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","IPK_KM"
"P","KOM","G4","SMTA","PNS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G3","SMTA","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G1","LL","PDG","BPN","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"P","KOM","G4","SMTA","LL","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_KM"
"L","HUK","G1","SD","PDG","PDG","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_KM"
"L","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","EKO","G3","SD","PDG","GRD","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","IPK_KM"
"P","EKO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"L","KOM","G4","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_KM"
"P","KOM","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_KM"
"P","KOM","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","HUK","G4","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","KOM","G3","SRJN","PS","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G2","SRJN","PDG","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_KM"
"P","KOM","G3","SRJN","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_KM"
"L","AKU","G4","SMTA","PNS","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","HUK","G3","SRJN","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","KOM","G4","SMTA","PNS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","IPK_KM"
"P","EKO","G3","SMP","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_KM"
"P","KOM","G4","SMTA","LL","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_KM"
"L","EKO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","IPK_KM"
"P","EKO","G4","SRJN","PDG","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","KOM","G1","LL","PDG","BPN","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","PDG","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","EKO","G4","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_KM"
"L","KOM","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","EKO","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","IPK_KM"
"P","HUK","G4","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_KM"
"P","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_KM"
"P","KOM","G4","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","HUK","G5","SRJN","PNS","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","KOM","G4","SRJN","LL","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G4","SMTA","PDG","PNS","SKS1_SB","SKS2_C","IPS1_KM","IPS2_SM","IPK_KM"
"P","KOM","G3","SMTA","LL","BPN","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G5","SRJN","GRD","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_KM"
"P","EKO","G3","SD","LL","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","KOM","G3","SRJN","PSN","PSN","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"L","EKO","G3","SRJN","GRD","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G3","SRJN","PSN","PSN","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_KM"
"L","HUK","G4","SRJN","LL","PNS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_CUM","IPK_KM"
"L","EKO","G3","SMTA","LL","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","IPK_KM"
"P","HUK","G4","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","KOM","G3","SMTA","PS","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_CUM","IPK_KM"
"P","AKU","G2","SMTA","PDG","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_KM"
"P","AKU","G1","SMTA","LL","PSN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_KM"
"L","KOM","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","EKO","G2","LL","BPN","BPN","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","IPK_KM"
"L","KOM","G4","SMTA","PDG","PNS","SKS1_SB","SKS2_C","IPS1_KM","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","PDG","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G3","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_KM"
"P","KOM","G4","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","GRD","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","HUK","G3","SRJN","GRD","PSN","SKS1_C","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","KOM","G4","SMTA","LL","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_KM"
"P","KOM","G4","SMTA","LL","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G2","SD","LL","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G4","SRJN","LL","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_KM"
"P","KOM","G4","SRJN","PDG","LL","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G7","SRJN","PS","PNS","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","IPK_KM"
"L","HUK","G3","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","EKO","G5","SRJN","PDG","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_KM"
"L","KOM","G4","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","IPK_KM"
"P","KOM","G7","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_KM"
"P","HUK","G4","SMTA","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"L","KOM","G2","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_KM"
"P","EKO","G4","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G4","SRJN","PDG","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G3","SMTA","LL","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","EKO","G4","SRJN","LL","PNS","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_KM"
"P","KOM","G5","SMP","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_KM"
"L","KOM","G4","SRJN","PDG","GRD","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G3","LL","BPN","BPN","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_CUM","IPK_KM"
"P","KOM","G7","SMTA","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_KM"
"L","KOM","G4","SRJN","PNS","PNS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"L","KOM","G5","SRJN","GRD","PDG","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","IPK_KM"
"L","AKU","G7","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_KM"
"P","KOM","G3","SMTA","PS","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_CUM","IPK_KM"
"P","AKU","G2","SMTA","PDG","LL","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_KM"
"L","KOM","G3","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_KM"
"L","KOM","G4","SRJN","PS","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_SM","IPK_KM"
"P","EKO","G4","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_SM","IPS2_SM","IPK_KM"
"P","KOM","G4","SRJN","GRD","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_KM"
"P","KOM","G3","SMTA","PNS","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_SM","IPK_KM"
"P","KOM","G3","SMTA","LL","LL","SKS1_SB","SKS2_SB","IPS1_CUM","IPS2_M","IPK_KM"
"L","HUK","G5","SRJN","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","PNS","SKS1_C","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G4","SRJN","PNS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","AKU","G5","SMTA","LL","PNS","SKS1_B","SKS2_SB","IPS1_SM","IPS2_SM","IPK_M"
"P","HUK","G6","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","IPK_M"
"L","HUK","G3","SMTA","LL","PDG","SKS1_B","SKS2_SB","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G3","SMTA","PS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G6","SMTA","LL","PS","SKS1_B","SKS2_C","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G3","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","AKU","G3","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_SM","IPS2_KM","IPK_M"
"L","HUK","G3","SRJN","PNS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"P","HUK","G4","SMTA","PDG","GRD","SKS1_B","SKS2_B","IPS1_M","IPS2_KM","IPK_M"
"P","AKU","G4","SMTA","LL","PNS","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G2","SMTA","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","KOM","G1","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G3","SD","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G6","SRJN","PNS","PS","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G3","SRJN","PNS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G7","SRJN","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G5","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G4","SMTA","PDG","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G3","SRJN","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G2","LL","PDG","LL","SKS1_C","SKS2_K","IPS1_KM","IPS2_KM","IPK_M"
"L","EKO","G3","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_SM","IPS2_KM","IPK_M"
"L","KOM","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","IPK_M"
"L","HUK","G3","SMTA","PS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G4","SRJN","PDG","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","KOM","G5","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G4","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"P","HUK","G4","SRJN","PNS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G3","SMP","LL","GRD","SKS1_B","SKS2_SB","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G3","SRJN","GRD","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G3","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","PNS","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G2","LL","BPN","BPN","SKS1_B","SKS2_SB","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","PNS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G6","SMTA","LL","PS","SKS1_B","SKS2_C","IPS1_KM","IPS2_M","IPK_M"
"L","KOM","G4","SRJN","LL","PS","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_M"
"P","AKU","G4","SMTA","LL","PNS","SKS1_SB","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","LL","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","KOM","G4","SMTA","PDG","GRD","SKS1_SB","SKS2_B","IPS1_M","IPS2_SM","IPK_M"
"L","EKO","G3","SRJN","GRD","PNS","SKS1_SB","SKS2_B","IPS1_SM","IPS2_KM","IPK_M"
"L","KOM","G3","SRJN","PS","PSN","SKS1_SB","SKS2_B","IPS1_M","IPS2_KM","IPK_M"
"L","HUK","G7","SRJN","PDG","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G2","LL","BPN","BPN","SKS1_B","SKS2_SB","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G4","SRJN","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G6","SRJN","PNS","PS","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"P","KOM","G5","SMTA","LL","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","KOM","G3","SMTA","PDG","PDG","SKS1_SB","SKS2_SB","IPS1_M","IPS2_SM","IPK_M"
"L","HUK","G4","SRJN","GRD","GRD","SKS1_C","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","GRD","SKS1_C","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","PSN","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"P","KOM","G4","SMP","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G3","SRJN","GRD","GRD","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","EKO","G3","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G6","SRJN","GRD","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G2","LL","PDG","LL","SKS1_C","SKS2_K","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","PSN","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G3","SMTA","LL","PDG","SKS1_B","SKS2_SB","IPS1_KM","IPS2_KM","IPK_M"
"L","EKO","G5","SRJN","GRD","LL","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G5","SRJN","LL","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","KOM","G1","SRJN","LL","PS","SKS1_SB","SKS2_SB","IPS1_SM","IPS2_M","IPK_M"
"L","HUK","G2","SMTA","LL","PS","SKS1_C","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G4","SMTA","PDG","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","AKU","G3","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_SM","IPS2_KM","IPK_M"
"L","HUK","G3","SMTA","PS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G3","SRJN","LL","PSN","SKS1_K","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","PSN","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G3","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G5","SRJN","GRD","PNS","SKS1_B","SKS2_C","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","GRD","PNS","SKS1_C","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SMP","PDG","PDG","SKS1_C","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G7","SRJN","LL","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G6","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_SM","IPS2_M","IPK_M"
"L","HUK","G2","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G4","SRJN","GRD","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G6","SMTA","LL","PS","SKS1_B","SKS2_C","IPS1_KM","IPS2_M","IPK_M"
"L","HUK","G3","SMTA","PDG","PNS","SKS1_C","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","AKU","G3","SMTA","LL","PSN","SKS1_SB","SKS2_B","IPS1_SM","IPS2_KM","IPK_M"
"L","KOM","G1","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G4","SMTA","PDG","PDG","SKS1_B","SKS2_B","IPS1_M","IPS2_M","IPK_M"
"L","HUK","G4","SMTA","LL","PNS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","PDG","GRD","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","KOM","G2","SD","LL","PDG","SKS1_SB","SKS2_B","IPS1_M","IPS2_M","IPK_M"
"L","KOM","G1","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G5","SMTA","LL","PNS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
"L","KOM","G1","SMTA","LL","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","PNS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","KOM","G7","SRJN","PS","PS","SKS1_SB","SKS2_B","IPS1_KM","IPS2_SM","IPK_M"
"L","HUK","G7","SMTA","PDG","LL","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G4","SRJN","PNS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","HUK","G3","SMTA","PDG","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"L","HUK","G4","SRJN","PNS","PS","SKS1_B","SKS2_B","IPS1_KM","IPS2_KM","IPK_M"
"P","KOM","G1","SMTA","LL","PSN","SKS1_B","SKS2_B","IPS1_KM","IPS2_M","IPK_M"
